risk_decile,customer_count,defaulted_customers,observed_default_rate,avg_predicted_default_probability,min_predicted_default_probability,max_predicted_default_probability,portfolio_default_rate,lift_vs_portfolio
1,600,418,0.6967,0.7009,0.5948,0.8783,0.2212,3.15
2,600,259,0.4317,0.4387,0.3342,0.5948,0.2212,1.9518
3,600,157,0.2617,0.2742,0.2264,0.3342,0.2212,1.1831
4,600,106,0.1767,0.201,0.1796,0.2262,0.2212,0.7988
5,600,105,0.175,0.164,0.1492,0.1796,0.2212,0.7913
6,600,94,0.1567,0.1362,0.124,0.1492,0.2212,0.7084
7,600,58,0.0967,0.112,0.1,0.1238,0.2212,0.4371
8,600,62,0.1033,0.0869,0.0744,0.1,0.2212,0.4672
9,600,43,0.0717,0.0622,0.0512,0.0743,0.2212,0.324
10,600,25,0.0417,0.0403,0.0172,0.0512,0.2212,0.1884
