threshold,accuracy,recall,precision,true_negatives,false_positives,false_negatives,true_positives,approval_rate_if_low_risk_approved,review_or_decline_rate_if_high_risk_flagged
0.1,0.4778,0.902,0.285,1670,3003,130,1197,0.3,0.7
0.15,0.631,0.7867,0.3509,2742,1931,283,1044,0.5042,0.4958
0.2,0.7243,0.6677,0.4221,3460,1213,441,886,0.6502,0.3498
0.25,0.7732,0.5976,0.4895,3846,827,534,793,0.73,0.27
0.3,0.793,0.5403,0.5315,4041,632,610,717,0.7752,0.2248
0.35,0.8077,0.4974,0.5754,4186,487,667,660,0.8088,0.1912
0.4,0.813,0.4461,0.6047,4286,387,735,592,0.8368,0.1632
0.45,0.8168,0.4047,0.6348,4364,309,790,537,0.859,0.141
0.5,0.8178,0.364,0.6598,4424,249,844,483,0.878,0.122
0.55,0.8193,0.3436,0.6816,4460,213,871,456,0.8885,0.1115
0.6,0.8173,0.3097,0.6954,4493,180,916,411,0.9015,0.0985
0.65,0.814,0.2555,0.7259,4545,128,988,339,0.9222,0.0778
0.7,0.8053,0.1711,0.7695,4605,68,1100,227,0.9508,0.0492
0.75,0.793,0.0776,0.8512,4655,18,1224,103,0.9798,0.0202
0.8,0.7823,0.0196,0.8387,4668,5,1301,26,0.9948,0.0052
