segmentation_type,segment_name,customer_count,defaulted_customers,observed_default_rate,portfolio_default_rate,default_rate_lift,total_credit_line_exposure,total_current_balance_exposure,exposure_share,avg_current_balance_exposure,avg_balance_exposure,avg_utilization,avg_payment_amount,avg_recent_payment_to_bill_ratio,avg_months_with_payment_delay,avg_months_with_serious_delay,total_revenue_proxy_6mo,total_realized_loss_proxy,total_observed_risk_adjusted_profit_proxy,avg_revenue_proxy_6mo,avg_expected_loss_proxy,avg_risk_adjusted_profit_proxy,risk_profit_segment,recommended_action
Age Group,55+,1053,281.0,0.2669,0.2212,1.21,172660000.0,58029651.0,0.0377,55108.88,48320.4,0.4713,4691.14,0.2887,0.98,0.85,4579324.44,6570988.8,-1991664.36,4348.84,7736.77,-3387.93,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Age Group,45-54,4233,1013.0,0.2393,0.2212,1.08,722052000.0,225990267.0,0.147,53387.73,46018.7,0.4466,5412.54,1.3865,0.85,0.72,17531742.36,25633872.4,-8102130.04,4141.68,6607.65,-2465.96,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Age Group,35-44,9018,1971.0,0.2186,0.2212,0.99,1745597680.0,494556395.0,0.3217,54841.03,48340.99,0.3901,5864.87,0.2913,0.77,0.65,39234514.33,59477165.9,-20242651.56,4350.69,6339.33,-1988.64,Low-risk / low-profit,Maintain efficiently; do not over-invest acquisition spend
Age Group,25-34,13011,2641.0,0.203,0.2212,0.92,2220520000.0,678233575.0,0.4412,52127.71,46017.4,0.4053,5407.19,0.2261,0.81,0.68,53885919.46,70366650.0,-16480730.53,4141.57,5604.43,-1462.86,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Age Group,Under 25,2685,730.0,0.2719,0.2212,1.23,163700000.0,80571369.0,0.0524,30007.96,25811.62,0.5736,2667.99,0.2267,1.1,0.97,6237377.17,11121287.2,-4883910.03,2323.05,4210.61,-1887.56,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Credit Limit Segment,Very high limit,928,104.0,0.1121,0.2212,0.51,484270000.0,98128203.0,0.0638,105741.6,95765.7,0.1994,18384.63,0.5423,0.26,0.17,7998351.11,7648660.2,349690.91,8618.91,6439.42,2179.5,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Credit Limit Segment,High limit,10222,1583.0,0.1549,0.2212,0.7,2938587680.0,697063412.0,0.4534,68192.47,60354.54,0.2434,7946.01,0.2797,0.43,0.32,55524967.71,66310551.9,-10785584.19,5431.91,5607.98,-176.07,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Credit Limit Segment,Mid limit,14539,3394.0,0.2334,0.2212,1.06,1499690000.0,676729779.0,0.4402,46545.83,39952.0,0.5003,3662.1,0.555,0.91,0.79,52277596.92,85387707.1,-33110110.18,3595.68,5595.86,-2000.18,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Credit Limit Segment,Low limit,4311,1555.0,0.3607,0.2212,1.63,101982000.0,65459863.0,0.0426,15184.38,14608.53,0.6429,1560.79,0.2131,1.65,1.47,5667962.04,13823045.1,-8155083.06,1314.77,3161.62,-1846.86,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Over limit / very high utilization,2115,636.0,0.3007,0.2212,1.36,230833680.0,256550516.0,0.1669,121300.48,94216.48,1.1315,5690.21,0.0547,1.06,0.93,17934106.05,35918488.1,-17984382.05,8479.48,16999.06,-8519.57,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,High utilization,6680,1725.0,0.2582,0.2212,1.17,715130000.0,646124588.0,0.4203,96725.24,81193.56,0.9051,4611.33,0.0722,1.05,0.96,48813568.44,78413291.7,-29599723.26,7307.42,12580.14,-5272.72,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Medium utilization,7167,1709.0,0.2385,0.2212,1.08,1014026000.0,495819367.0,0.3225,69180.88,60505.54,0.4989,5113.94,0.1262,1.15,1.06,39027885.54,47903573.4,-8875687.86,5445.5,8656.67,-3211.17,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
Utilization Segment,Low utilization,11440,1923.0,0.1681,0.2212,0.76,2519520000.0,138886786.0,0.0903,12140.45,14429.45,0.0615,6260.31,0.9,0.48,0.44,14856559.95,10368019.4,4488540.55,1298.65,1455.31,-156.66,Low-risk / high-profit,"Prioritize growth, retention, and cross-sell"
Utilization Segment,Negative or zero balance,2598,643.0,0.2475,0.2212,1.12,545020000.0,0.0,0.0,0.0,3578.64,0.0,2751.71,0.2128,0.76,0.11,836757.79,566591.7,270166.1,322.08,531.42,-209.35,High-risk / high-profit,"Monitor, reprice, limit line increases, or add controls"
Repayment Behavior,Repeated serious delay,4886,2754.0,0.5637,0.2212,2.55,496746000.0,242523704.0,0.1578,49636.45,47810.07,0.5697,2688.94,0.1253,3.91,3.65,21024001.77,82078665.8,-61054664.03,4302.91,16168.92,-11866.02,High-risk / low-profit,"Restrict, reduce exposure, or require stronger repayment behavior"
